Tstamp,Tflow,AveMc,BCmc,BC
2019-01-01 00:04:00,0.3821,3.66,-9.99,3.66
2019-01-01 00:14:00,0.3821,2.73,2.55,2.73
2019-01-01 00:24:00,0.3736,2.14,1.77,2.14
2019-01-01 00:34:00,0.3712,2.32,-9.99,2.32
2019-01-01 00:44:00,0.3759,4.0,3.9,4.0
2019-01-01 00:54:00,0.3717,2.45,2.18,2.45
2019-01-01 01:04:00,0.3814,3.41,3.04,3.41
2019-01-01 01:14:00,0.3712,2.68,2.87,2.68
2019-01-01 01:24:00,0.3712,2.64,2.74,2.64
2019-01-01 01:34:00,0.3712,2.72,2.77,2.72
2019-01-01 01:44:00,0.3732,2.18,2.48,2.18
2019-01-01 01:54:00,0.3821,2.48,2.32,2.48
2019-01-01 02:04:00,0.3723,2.39,2.48,2.39
2019-01-01 02:14:00,0.3712,2.17,2.14,2.17
2019-01-01 02:24:00,0.3712,1.63,1.67,1.63
2019-01-01 02:34:00,0.3712,1.6,1.67,1.6
2019-01-01 02:44:00,0.3712,1.68,1.64,1.68
2019-01-01 02:54:00,0.3712,1.81,1.79,1.81
2019-01-01 03:04:00,0.3712,1.54,1.63,1.54
2019-01-01 03:14:00,0.3712,1.6,1.51,1.6
2019-01-01 03:24:00,0.3712,1.34,1.39,1.34
2019-01-01 03:34:00,0.3712,1.4,1.27,1.4
2019-01-01 03:44:00,0.3712,1.38,1.42,1.38
2019-01-01 03:54:00,0.3712,1.93,2.09,1.93
2019-01-01 04:04:00,0.3712,1.88,1.68,1.88
2019-01-01 04:14:00,0.3712,3.1,3.03,3.1
2019-01-01 04:24:00,0.3717,3.57,3.22,3.57
2019-01-01 04:34:00,0.3712,3.01,2.99,3.01
2019-01-01 04:44:00,0.3712,2.61,2.62,2.61
2019-01-01 04:54:00,0.3712,3.0,3.14,3.0
2019-01-01 05:04:00,0.3761,3.35,3.55,3.35
2019-01-01 05:14:00,0.3712,2.63,2.37,2.63
2019-01-01 05:24:00,0.3717,3.32,2.71,3.32
2019-01-01 05:34:00,0.3712,3.48,3.64,3.48
2019-01-01 05:44:00,0.3712,2.97,3.01,2.97
2019-01-01 05:54:00,0.3712,4.8,5.33,4.8
2019-01-01 06:04:00,0.3712,6.76,-9.99,6.76
2019-01-01 06:14:00,0.3712,4.38,4.24,4.38
2019-01-01 06:24:00,0.3712,5.06,4.87,5.06
2019-01-01 06:34:00,0.3712,2.27,-9.99,2.27
2019-01-01 06:44:00,0.3712,2.91,-9.99,2.91
2019-01-01 06:54:00,0.3712,3.89,4.03,3.89
2019-01-01 07:04:00,0.3712,2.87,2.87,2.87
2019-01-01 07:14:00,0.3712,2.62,2.11,2.62
2019-01-01 07:24:00,0.3712,3.49,3.44,3.49
2019-01-01 07:34:00,0.3712,1.96,1.88,1.96
2019-01-01 07:44:00,0.3712,0.16,-9.99,0.16
2019-01-01 07:54:00,0.3712,2.18,1.85,2.18
2019-01-01 08:04:00,0.3712,1.61,1.57,1.61
2019-01-01 08:14:00,0.3712,1.36,1.54,1.36
2019-01-01 08:24:00,0.3712,1.93,1.63,1.93
2019-01-01 08:34:00,0.3712,2.44,2.41,2.44
2019-01-01 08:44:00,0.3712,2.05,2.07,2.05
2019-01-01 08:54:00,0.3712,4.61,4.63,4.61
2019-01-01 09:04:00,0.3712,1.8,1.55,1.8
2019-01-01 09:14:00,0.3712,2.05,3.01,2.05
2019-01-01 09:24:00,0.3712,1.81,1.99,1.81
2019-01-01 09:34:00,0.3712,2.7,2.14,2.7
