Tstamp,PM2.5mean,BCmean,O3mean,PM2.5max,BCmax,O3max,Dpattern,Precipitation,Tmean,RHmean,Windspeed,WDirection,SunshineHours,China,RRD,SoutheastAsia,PacificOcean
1/1/2019,27.26125,1.976666667,17.93583333,42.41,4.8,25.2,DNV,,11.8,66,6,NNE,0,12,16,0,0
1/2/2019,32.33625,1.752083333,20.4275,59.95,3.92,39.7,DNV,,13.8,67,5,NNE,0.3,57,19,0,0
1/3/2019,26.92416667,2.544583333,23.2025,37.56,4.7,48.08,DNV,,15.4,71,4,NNE,3,96,28,0,0
1/4/2019,47.76416667,3.407083333,12.0975,88.91,6.76,39.74,DNV,0.9,16.6,78,3,NNE,0.3,131,41,0,0
1/5/2019,75.19125,4.069583333,18.19625,127.3,9,66.27,DNV,,19,81,5,NNE,0.9,164,56,0,0
1/6/2019,27.76791667,2.980416667,9.29,76.27,7.3,30.1,DNV,0.1,19.1,83,4,N,0.4,180,51,0,11
1/7/2019,117.7708333,5.306666667,1.93375,165.92,10.96,13.28,DNV,0,19.4,91,3,N,0,156,34,0,52
1/8/2019,25.55208333,1.79173913,2.83375,83.95,8.67,10.02,DNV,1.1,17.5,94,4,SE,0,173,32,0,37
1/9/2019,9.900416667,0.879166667,5.753333333,23.04,1.71,10.23,RHV,5.2,13.8,94,6,NNE,0,209,33,0,0
1/10/2019,48.70458333,2.23,2.25625,81.04,3.64,7.04,UCV,1,15.1,92,3,NNE,0,174,46,0,22
1/11/2019,107.6879167,5.34125,5.877083333,186.13,9.79,27.5,UCV,,17.8,89,3,N,0,89,46,0,107
1/12/2019,120.64375,4.78625,7.965416667,296.46,11.08,30.09,UCV,0,20,90,4,N,0.7,36,46,0,160
1/13/2019,49.03666667,1.614166667,15.73125,71.05,2.22,23.74,RHV,,20.7,90,5,ESE,0,53,31,0,158
1/14/2019,66.41,1.58625,25.68875,104.87,2.91,43.42,RHV,,21.2,91,5,SSE,1.1,109,31,0,102
1/15/2019,34.99913043,1.507826087,10.4473913,56.66,2.51,25.08,RHV,0.5,20,87,4,NNW,0,174,28,0,40
1/16/2019,9.6675,1.060416667,13.90916667,19.22,2.65,17.69,RHV,0.3,14.2,80,6,NNE,0,223,19,0,0
1/17/2019,22.58833333,1.573333333,18.18958333,41.24,4.01,29.89,RHV,,14.3,73,4,NNE,0,215,27,0,0
1/18/2019,45.66727273,2.118181818,13.28181818,59.69,4.85,17.09,RHV,,16.1,72,3,NW,0,178,51,0,13
1/19/2019,,,,,,,,,17.6,84,3,N,0,141,35,0,66
1/20/2019,,,,,,,,0.1,18.5,90,3,N,0,118,39,0,85
1/21/2019,,,,,,,,2.6,16.3,81,8,N,0,224,18,0,0
1/22/2019,,,,,,,,,15.8,62,5,NNE,0,211,31,0,0
1/23/2019,,,,,,,,,16.7,72,3,S,0,169,51,0,22
1/24/2019,128.7279167,5.004166667,15.5025,175.06,11.52,47.34,UCV,,17.8,82,4,N,0,124,24,0,94
1/25/2019,179.8683333,9.177916667,9.73125,224.2,14.45,26.49,UCV,,18.1,90,4,N,0,107,29,0,106
1/26/2019,114.5666667,2.146666667,19.52,164.02,3.99,54.2,UCV,,19.2,83,3,N,0,141,30,0,71
1/27/2019,116.7583333,0.83,26.66541667,189.45,1.87,74.33,UCV,,17.9,84,3,N,0.2,167,45,0,30
1/28/2019,50.44208333,1.761666667,51.57291667,74.6,9,91.31,UCV,,20.2,78,5,SE,7.1,134,50,0,58
1/29/2019,55.21708333,3.079166667,32.58208333,90.91,5.02,60.59,UCV,,20.8,82,5,SSE,0.5,95,31,0,116
