Tstamp,wdir,wspd,temp,prec
1/1/2019 1:00,337.5,3,11.8,0
1/1/2019 2:00,0,3,11,0
1/1/2019 3:00,0,3,11,0
1/1/2019 4:00,0,3,11,0
1/1/2019 5:00,0,3,11,0
1/1/2019 6:00,0,3,11,0
1/1/2019 7:00,0,3,11,0
1/1/2019 8:00,0,5,12.2,0
1/1/2019 9:00,0,5,12.2,0
1/1/2019 10:00,0,5,12.2,0
1/1/2019 11:00,0,5,12.2,0
1/1/2019 12:00,0,5,12.2,0
1/1/2019 13:00,0,5,12.2,0
1/1/2019 14:00,315,2,12.3,0
1/1/2019 15:00,315,2,12.3,0
1/1/2019 16:00,315,2,12.3,0
1/1/2019 17:00,315,2,12.3,0
1/1/2019 18:00,315,2,12.3,0
1/1/2019 19:00,315,2,12.3,0
1/1/2019 20:00,315,2,12,0
1/1/2019 21:00,315,2,12,0
1/1/2019 22:00,315,2,12,0
1/1/2019 23:00,315,2,12,0
1/2/2019 0:00,315,2,12,0
1/2/2019 1:00,315,2,12,0
1/2/2019 2:00,0,4,11.9,0
1/2/2019 3:00,0,4,11.9,0
1/2/2019 4:00,0,4,11.9,0
1/2/2019 5:00,0,4,11.9,0
1/2/2019 6:00,0,4,11.9,0
1/2/2019 7:00,0,4,11.9,0
1/2/2019 8:00,270,2,16.1,0
1/2/2019 9:00,270,2,16.1,0
1/2/2019 10:00,270,2,16.1,0
1/2/2019 11:00,270,2,16.1,0
1/2/2019 12:00,270,2,16.1,0
1/2/2019 13:00,270,2,16.1,0
1/2/2019 14:00,270,2,15.3,0
1/2/2019 15:00,270,2,15.3,0
1/2/2019 16:00,270,2,15.3,0
1/2/2019 17:00,270,2,15.3,0
1/2/2019 18:00,270,2,15.3,0
1/2/2019 19:00,270,2,15.3,0
1/2/2019 20:00,337.5,0,14.6,0
1/2/2019 21:00,337.5,0,14.6,0
1/2/2019 22:00,337.5,0,14.6,0
1/2/2019 23:00,337.5,0,14.6,0
1/3/2019 0:00,337.5,0,14.6,0
1/3/2019 1:00,337.5,0,14.6,0
1/3/2019 2:00,337.5,2,13,0
1/3/2019 3:00,337.5,2,13,0
1/3/2019 4:00,337.5,2,13,0
1/3/2019 5:00,337.5,2,13,0
1/3/2019 6:00,337.5,2,13,0
1/3/2019 7:00,337.5,2,13,0
1/3/2019 8:00,0,2,17,0
1/3/2019 9:00,0,2,17,0
1/3/2019 10:00,0,2,17,0
1/3/2019 11:00,0,2,17,0
1/3/2019 12:00,0,2,17,0
1/3/2019 13:00,0,2,17,0
1/3/2019 14:00,0,1,16.8,0
1/3/2019 15:00,0,1,16.8,0
1/3/2019 16:00,0,1,16.8,0
1/3/2019 17:00,0,1,16.8,0
1/3/2019 18:00,0,1,16.8,0
1/3/2019 19:00,0,1,16.8,0
1/3/2019 20:00,270,0,15.7,0
1/3/2019 21:00,270,0,15.7,0
1/3/2019 22:00,270,0,15.7,0
1/3/2019 23:00,270,0,15.7,0
1/4/2019 0:00,270,0,15.7,0
1/4/2019 1:00,270,0,15.7,0
1/4/2019 2:00,270,0,14.3,0
1/4/2019 3:00,270,0,14.3,0
1/4/2019 4:00,270,0,14.3,0.9
1/4/2019 5:00,270,0,14.3,0
1/4/2019 6:00,270,0,14.3,0
1/4/2019 7:00,270,0,14.3,0
1/4/2019 8:00,270,1,18.2,0
1/4/2019 9:00,270,1,18.2,0
1/4/2019 10:00,270,1,18.2,0
1/4/2019 11:00,270,1,18.2,0
1/4/2019 12:00,270,1,18.2,0
1/4/2019 13:00,270,1,18.2,0
1/4/2019 14:00,0,1,18.3,0
1/4/2019 15:00,0,1,18.3,0
1/4/2019 16:00,0,1,18.3,0
1/4/2019 17:00,0,1,18.3,0
1/4/2019 18:00,0,1,18.3,0
1/4/2019 19:00,0,1,18.3,0
1/4/2019 20:00,315,1,17.4,0
1/4/2019 21:00,315,1,17.4,0
1/4/2019 22:00,315,1,17.4,0
1/4/2019 23:00,315,1,17.4,0
1/5/2019 0:00,315,1,17.4,0
1/5/2019 1:00,315,1,17.4,0
1/5/2019 2:00,0,1,16.4,0
1/5/2019 3:00,0,1,16.4,0
1/5/2019 4:00,0,1,16.4,0
1/5/2019 5:00,0,1,16.4,0
1/5/2019 6:00,0,1,16.4,0
1/5/2019 7:00,0,1,16.4,0
1/5/2019 8:00,0,0,21.4,0
1/5/2019 9:00,0,0,21.4,0
1/5/2019 10:00,0,0,21.4,0
1/5/2019 11:00,0,0,21.4,0
1/5/2019 12:00,0,0,21.4,0
1/5/2019 13:00,0,0,21.4,0
1/5/2019 14:00,0,0,20.8,0
1/5/2019 15:00,0,0,20.8,0
1/5/2019 16:00,0,0,20.8,0
1/5/2019 17:00,0,0,20.8,0
1/5/2019 18:00,0,0,20.8,0
1/5/2019 19:00,0,0,20.8,0
