,BC,O3,PM2.5,MERRA2-BC
2019-01-01 00,2.45,16.29,29.85,1.924800415039064
2019-01-01 01,2.48,14.59,32.77,1.7320787191390998
2019-01-01 02,1.81,15.1,30.55,1.5688789176940925
2019-01-01 03,1.93,15.69,27.14,1.4512262630462651
2019-01-01 04,3.0,16.77,32.37,1.371665019989014
2019-01-01 05,4.8,17.47,29.66,1.328827924728394
2019-01-01 06,3.89,15.23,42.41,1.2622352504730228
2019-01-01 07,2.18,13.22,36.99,1.2740594339370732
2019-01-01 08,4.61,14.58,32.4,1.2991071557998664
2019-01-01 09,1.95,16.6,30.72,1.3912548208236704
2019-01-01 10,2.15,20.2,27.16,1.6016951084136974
2019-01-01 11,1.13,22.75,23.65,1.801947655677797
2019-01-01 12,0.93,24.86,21.76,1.9541039943695089
2019-01-01 13,0.82,25.2,16.12,2.050182881355288
2019-01-01 14,1.15,24.08,18.82,2.0985317325592066
2019-01-01 15,1.25,20.45,21.81,2.120523262023928
2019-01-01 16,1.06,19.21,21.49,2.13971353530884
2019-01-01 17,1.27,19.56,22.08,2.1892630910873434
2019-01-01 18,1.46,18.8,22.71,2.2531459522247337
2019-01-01 19,1.25,17.42,23.39,2.3200123310089134
2019-01-01 20,1.21,18.71,22.79,2.393464622497561
2019-01-01 21,1.44,15.9,27.75,2.438027906417849
2019-01-01 22,1.61,12.41,31.69,2.4594194030761742
2019-01-01 23,1.61,15.37,28.19,2.483540191650393
2019-01-02 00,0.83,16.12,23.54,
2019-01-02 01,0.74,16.07,20.27,
2019-01-02 02,0.81,14.96,19.65,
2019-01-02 03,0.83,12.74,20.58,
2019-01-02 04,1.23,12.18,24.88,
2019-01-02 05,0.83,13.77,22.66,
2019-01-02 06,0.99,14.47,21.87,
2019-01-02 07,1.24,11.18,24.39,
2019-01-02 08,1.28,14.99,25.05,
2019-01-02 09,1.46,17.21,27.77,
2019-01-02 10,1.12,23.05,26.86,
2019-01-02 11,1.04,27.28,20.05,
2019-01-02 12,1.29,30.83,25.59,
2019-01-02 13,1.56,36.09,34.97,
2019-01-02 14,1.8,39.7,34.28,
2019-01-02 15,2.2,36.26,41.93,
2019-01-02 16,2.76,33.6,46.14,
2019-01-02 17,3.77,28.67,54.65,
2019-01-02 18,3.83,22.98,57.9,
2019-01-02 19,3.92,18.7,49.71,
2019-01-02 20,3.61,12.94,59.95,
2019-01-02 21,1.79,9.46,43.09,
2019-01-02 22,1.71,10.52,26.05,
2019-01-02 23,1.41,16.49,24.24,
2019-01-03 00,2.29,17.24,27.7,2.9768488979339627
2019-01-03 01,0.98,22.49,23.33,2.445667839050294
2019-01-03 02,0.96,23.9,19.82,2.1272723388671886
2019-01-03 03,1.49,24.66,23.35,1.9720756292343151
2019-01-03 04,1.13,22.81,25.83,1.8185167264938369
2019-01-03 05,1.22,17.75,23.34,1.679982481002809
2019-01-03 06,1.41,17.66,25.09,1.3536555862426762
2019-01-03 07,1.22,17.95,20.82,1.3487988328933722
2019-01-03 08,1.92,18.68,20.14,1.374555716514588
2019-01-03 09,1.31,20.84,21.8,1.4812948179245005
2019-01-03 10,3.34,23.9,23.96,1.7051947307586683
2019-01-03 11,2.98,27.28,26.79,1.9426833868026752
2019-01-03 12,2.16,34.95,26.47,2.165670614242556
2019-01-03 13,2.4,44.36,24.54,2.38786128997803
2019-01-03 14,2.29,48.08,24.78,2.616436557769779
2019-01-03 15,2.64,47.31,25.57,2.8494477748870897
2019-01-03 16,2.82,41.03,27.7,3.0753713130950984
2019-01-03 17,4.05,29.95,30.73,3.287360086441047
2019-01-03 18,3.98,16.25,35.88,3.453320903778084
2019-01-03 19,3.77,15.01,37.56,3.591106967926033
2019-01-03 20,3.87,12.78,34.78,3.7099993896484458
2019-01-03 21,4.59,5.13,35.68,3.786444587707528
2019-01-03 22,4.7,2.85,32.25,3.910354242324837
2019-01-03 23,3.55,4.0,28.27,4.048379821777353
2019-01-04 00,1.85,7.79,23.83,3.924033012390144
2019-01-04 01,1.7,6.02,22.14,2.7801434803009064
2019-01-04 02,5.36,3.91,41.18,1.980351881980898
2019-01-04 03,6.76,5.81,59.63,1.6614831209182752
2019-01-04 04,3.03,8.09,60.12,1.5284240770339976
2019-01-04 05,3.87,5.47,49.21,1.4430406475067148
2019-01-04 06,0.86,6.09,40.36,1.7901402187347426
2019-01-04 07,0.55,5.92,17.69,1.757616653442384
2019-01-04 08,1.18,5.53,21.46,1.759217395782472
2019-01-04 09,1.32,5.34,25.58,1.8447462797164929
2019-01-04 10,4.6,9.21,39.84,2.0760126590728776
2019-01-04 11,4.36,15.16,60.45,2.322485656738283
2019-01-04 12,4.3,28.17,59.41,2.5623377037048365
2019-01-04 13,3.5,33.75,60.73,2.824344797134403
2019-01-04 14,4.41,38.36,71.7,3.1192757797241257
2019-01-04 15,3.71,39.74,80.79,3.432833232879644
2019-01-04 16,4.91,29.96,88.91,3.69353121757508
2019-01-04 17,3.85,17.88,83.95,3.828282260894782
2019-01-04 18,3.36,8.54,53.38,3.85556638717652
2019-01-04 19,3.42,4.84,40.71,3.753339681625373
2019-01-04 20,3.12,1.74,41.63,3.575442934036261
2019-01-04 21,3.5,0.43,39.44,3.485911273956304
2019-01-04 22,3.22,0.98,32.03,3.5029006195068404
2019-01-04 23,5.03,1.61,32.17,3.5623451137542768
2019-01-05 00,5.95,2.4,48.15,3.5156335067749063
2019-01-05 01,1.62,4.23,54.07,2.842025375366213
2019-01-05 02,0.79,5.05,39.55,2.3313986682891854
2019-01-05 03,1.08,3.91,51.26,1.328899130821227
2019-01-05 04,0.96,3.51,54.65,1.2609597921371452
2019-01-05 05,1.24,0.86,88.79,1.217867970466613
2019-01-05 06,1.2,0.55,74.2,1.1784140443801876
2019-01-05 07,0.88,1.5,46.21,1.1877820730209347
2019-01-05 08,0.78,6.02,33.11,1.239187455177307
2019-01-05 09,9.0,11.95,56.89,1.3776119804382323
2019-01-05 10,3.4,25.05,72.2,1.6407115602493292
2019-01-05 11,4.3,35.57,92.65,1.9102143478393565
2019-01-05 12,4.32,41.11,110.22,2.1734387207031265
2019-01-05 13,4.45,54.18,106.77,2.4427241897583034
2019-01-05 14,4.52,62.4,102.08,2.712810029983524
2019-01-05 15,5.4,66.27,106.71,2.9633560276031536
2019-01-05 16,5.61,55.25,127.3,3.124848794937139
2019-01-05 17,5.68,36.03,125.6,3.2297337913513235
2019-01-05 18,5.71,15.67,103.44,3.206191463470464
2019-01-05 19,6.12,3.0,82.28,3.0595110034942663
2019-01-05 20,7.03,0.54,73.04,2.9897012615203886
2019-01-05 21,7.76,0.4,60.33,3.004170475006106
2019-01-05 22,7.01,0.23,56.46,3.049287395477297
2019-01-05 23,2.86,1.03,38.63,3.12252868652344
2019-01-06 00,4.65,4.55,37.36,3.061341981887819
2019-01-06 01,2.43,4.09,33.83,2.745644092559816
2019-01-06 02,2.58,3.2,34.21,2.46188934326172
2019-01-06 03,1.16,4.1,22.22,1.566877665519714
2019-01-06 04,0.66,6.84,12.44,1.504632678031921
2019-01-06 05,0.78,6.85,8.26,1.4521386146545407
2019-01-06 06,0.66,3.94,8.37,1.5553814458847048
2019-01-06 07,0.82,3.86,7.01,1.5512344741821291
2019-01-06 08,1.49,4.39,10.45,1.5860335922241215
2019-01-06 09,1.79,5.61,17.63,1.6930244779586798
2019-01-06 10,1.59,8.97,15.42,1.9177607440948496
2019-01-06 11,1.58,13.5,13.33,2.169727625846864
2019-01-06 12,1.84,22.34,18.29,2.4268593215942404
2019-01-06 13,1.88,29.53,19.52,2.697233800888065
2019-01-06 14,3.27,30.1,23.03,2.9719023036956838
2019-01-06 15,3.51,28.16,27.05,3.234272537231451
2019-01-06 16,3.1,23.07,28.86,3.4736160945892403
2019-01-06 17,4.34,12.31,32.84,3.6491145706176833
2019-01-06 18,5.26,4.39,43.51,3.714012479782112
2019-01-06 19,3.3,2.27,40.54,3.731257019042976
2019-01-06 20,5.52,0.67,38.94,3.713250026702888
2019-01-06 21,6.17,0.17,44.66,3.684326524734504
2019-01-06 22,5.85,0.05,52.39,3.6773780155181934
2019-01-06 23,7.3,0.0,76.27,3.7012798881530817
2019-01-07 00,10.67,0.0,118.87,3.5993806648254445
2019-01-07 01,10.96,0.0,138.11,2.8356241798400905
2019-01-07 02,7.41,0.0,139.73,2.2323761081695577
2019-01-07 03,6.63,0.0,149.26,1.742228064537049
2019-01-07 04,5.77,0.0,126.23,1.6632293081283578
2019-01-07 05,7.92,0.0,110.06,1.5879420471191412
2019-01-07 06,5.33,0.0,139.02,1.4133911609649663
2019-01-07 07,3.05,0.0,87.26,1.3937643623352056
2019-01-07 08,4.57,0.06,64.25,1.4154114294052131
2019-01-07 09,3.95,0.35,82.4,1.5439581871032724
2019-01-07 10,5.7,0.96,116.39,1.7974707412719737
2019-01-07 11,5.59,4.5,146.39,2.065953578948976
2019-01-07 12,5.97,7.9,148.84,2.3400571250915547
2019-01-07 13,6.22,10.69,151.57,2.598935670852664
2019-01-07 14,5.95,13.28,165.92,2.761407890319828
2019-01-07 15,4.54,7.27,108.82,2.8357681274414097
2019-01-07 16,4.21,1.09,107.83,2.905471744537357
2019-01-07 17,4.09,0.03,125.6,2.960841751098637
2019-01-07 18,3.41,0.0,140.22,2.955930519104008
2019-01-07 19,3.25,0.19,116.09,2.9347211265564006
2019-01-07 20,3.31,0.0,107.23,2.926935796737675
2019-01-07 21,3.23,0.04,91.61,2.9188595676422158
2019-01-07 22,2.92,0.0,81.9,2.956622142791751
2019-01-07 23,2.71,0.05,62.9,2.9955851268768345
2019-01-08 00,2.51,0.35,42.28,2.9827424716949493
2019-01-08 01,6.28,0.0,38.75,2.685337896347048
2019-01-08 02,8.67,0.12,83.95,2.5173005294799817
2019-01-08 03,1.75,0.67,46.55,2.521520481109619
2019-01-08 04,1.25,0.01,33.04,2.474118394851684
2019-01-08 05,0.92,0.0,31.1,2.449744653701782
2019-01-08 06,0.57,0.0,14.75,2.6227280235290533
2019-01-08 07,0.82,0.02,13.38,2.52373893737793
2019-01-08 08,0.79,0.71,15.43,2.524685125350953
2019-01-08 09,0.92,1.21,20.79,2.6481574916839614
2019-01-08 10,0.94,2.09,21.81,2.817578115463258
2019-01-08 11,,2.89,32.55,3.0469892024993923
2019-01-08 12,1.33,3.37,31.66,3.0383670616149923
2019-01-08 13,1.55,4.72,21.69,3.042078170776368
2019-01-08 14,1.28,4.46,30.08,3.091083936691285
2019-01-08 15,1.51,4.56,22.17,3.1794479274749765
2019-01-08 16,1.6,2.18,21.69,3.2884064960479744
2019-01-08 17,2.64,2.42,19.77,3.3808508968353284
2019-01-08 18,1.33,2.21,17.16,3.447967958450319
2019-01-08 19,1.61,4.05,13.91,3.511566209793092
2019-01-08 20,1.14,5.06,15.24,3.586296720504762
2019-01-08 21,0.5,8.44,9.96,3.68640067100525
2019-01-08 22,0.49,10.02,6.46,3.819625825881959
2019-01-08 23,0.81,8.45,9.08,3.977118148803712
2019-01-09 00,0.21,8.07,6.23,4.013491172790528
2019-01-09 01,0.28,10.12,6.58,3.89256498336792
2019-01-09 02,0.2,10.23,4.94,3.833848495483398
2019-01-09 03,0.33,8.52,4.36,3.765380887985229
2019-01-09 04,0.4,8.33,5.58,3.753993997573853
2019-01-09 05,0.41,8.0,3.1,3.683162860870362
2019-01-09 06,0.53,6.5,2.96,3.8102006816864016
2019-01-09 07,0.92,4.31,11.06,3.854293384552003
2019-01-09 08,1.06,3.97,17.13,3.898677711486817
2019-01-09 09,1.71,3.64,11.89,4.060129737854005
2019-01-09 10,0.69,4.03,6.78,4.316825790405275
2019-01-09 11,0.99,2.6,10.28,4.531394176483158
2019-01-09 12,0.98,4.88,8.36,4.701359958648685
2019-01-09 13,0.52,8.11,4.48,4.751782436370853
2019-01-09 14,0.61,8.05,4.62,4.653993797302248
2019-01-09 15,0.76,9.58,3.26,4.543109226226808
2019-01-09 16,0.88,6.98,5.05,4.539108257293703
2019-01-09 17,0.99,4.91,9.04,4.575706329345706
2019-01-09 18,1.69,3.49,18.34,4.600079212188724
2019-01-09 19,1.65,5.8,20.74,4.615796680450443
2019-01-09 20,0.98,5.51,13.79,4.626711692810063
2019-01-09 21,1.35,2.17,16.63,4.642570390701299
2019-01-09 22,1.51,0.16,19.37,4.704416856765753
2019-01-09 23,1.45,0.12,23.04,4.769318246841436
2019-01-10 00,1.32,0.66,27.29,
2019-01-10 01,1.12,1.33,29.23,
2019-01-10 02,1.21,0.61,25.43,
2019-01-10 03,1.0,1.64,25.18,
2019-01-10 04,0.98,3.96,23.01,
2019-01-10 05,1.37,2.89,37.82,
2019-01-10 06,1.74,0.44,43.12,
2019-01-10 07,1.86,1.06,43.81,
2019-01-10 08,1.54,2.72,35.28,
2019-01-10 09,2.39,2.62,39.82,
2019-01-10 10,2.63,2.79,56.13,
2019-01-10 11,2.1,6.51,63.71,
2019-01-10 12,2.51,5.67,56.1,
2019-01-10 13,2.24,6.22,67.16,
2019-01-10 14,2.92,7.04,80.15,
2019-01-10 15,3.06,4.9,81.04,
2019-01-10 16,2.49,1.08,72.57,
2019-01-10 17,3.64,0.61,60.45,
2019-01-10 18,3.01,0.5,54.13,
2019-01-10 19,2.63,0.63,53.02,
2019-01-10 20,3.35,0.18,50.23,
2019-01-10 21,2.78,0.02,49.7,
2019-01-10 22,2.81,0.04,48.13,
2019-01-10 23,2.82,0.03,46.4,
2019-01-11 00,2.96,0.05,44.89,3.3647306156158527
2019-01-11 01,4.72,0.0,46.01,2.074812502861026
2019-01-11 02,3.66,0.0,48.1,1.318031299114231
2019-01-11 03,4.08,0.0,54.45,0.7280323898792282
2019-01-11 04,3.41,0.0,55.46,0.6503257036209119
2019-01-11 05,3.84,0.0,59.39,0.6075344014167796
2019-01-11 06,4.78,0.02,62.78,0.8182815027236947
2019-01-11 07,5.02,0.21,70.48,0.7740618634223946
2019-01-11 08,5.77,0.2,67.81,0.7773269248008734
2019-01-11 09,5.5,0.83,70.59,0.8587721824646002
2019-01-11 10,5.01,3.94,89.22,1.0771691107749946
2019-01-11 11,5.19,7.37,115.28,1.3113640260696418
2019-01-11 12,5.55,8.42,133.24,1.5465775871276866
2019-01-11 13,2.94,19.14,119.33,1.7155252933502212
2019-01-11 14,3.95,24.6,104.09,1.7755337238311784
2019-01-11 15,4.42,24.22,137.13,1.856933479309084
2019-01-11 16,4.78,27.5,130.15,1.9707477521896384
2019-01-11 17,6.05,12.41,150.84,2.075412425994875
2019-01-11 18,6.1,7.38,186.13,2.196648006439211
2019-01-11 19,7.07,3.54,173.53,2.3237589883804346
2019-01-11 20,7.24,1.12,185.16,2.432934694290163
2019-01-11 21,7.38,0.0,152.68,2.528395204544069
2019-01-11 22,9.79,0.06,170.0,2.6008637714386
2019-01-11 23,8.98,0.04,157.77,2.666420097351075
2019-01-12 00,9.37,0.12,150.01,2.680899600982667
2019-01-12 01,9.18,0.08,157.54,2.2798133087158208
2019-01-12 02,6.89,0.12,142.2,1.8737425422668457
2019-01-12 03,6.78,0.0,144.08,1.4394027280807504
2019-01-12 04,7.12,0.0,145.51,1.1363594818115246
2019-01-12 05,8.61,0.0,155.18,0.96675738811493
2019-01-12 06,7.37,0.02,170.4,0.8543975234031684
2019-01-12 07,11.08,0.38,212.73,0.8045208120346075
2019-01-12 08,9.7,0.33,296.46,0.8110419631004336
2019-01-12 09,7.78,0.9,241.87,0.9348787045478824
2019-01-12 10,4.81,3.94,165.68,1.1748306655883791
2019-01-12 11,3.72,5.95,147.68,1.4097895336151127
2019-01-12 12,2.25,11.62,89.1,1.631069617271424
2019-01-12 13,1.77,23.85,68.14,1.7550155639648448
2019-01-12 14,1.87,30.09,58.18,1.8214086246490493
2019-01-12 15,2.0,22.65,59.23,1.8969331741333024
2019-01-12 16,1.94,16.97,51.3,1.9811886930465723
2019-01-12 17,1.71,11.12,48.67,2.0794687366485625
2019-01-12 18,2.25,8.42,51.75,2.178003425598148
2019-01-12 19,1.91,9.04,68.19,2.273700366020207
2019-01-12 20,1.87,8.85,70.18,2.360138735771184
2019-01-12 21,1.96,10.65,71.26,2.44825064182282
2019-01-12 22,1.45,11.81,66.57,2.557026238441473
2019-01-12 23,1.48,14.26,63.54,2.676824798583991
2019-01-13 00,1.8,12.19,63.13,2.616125164031988
2019-01-13 01,1.36,13.88,71.05,1.5951445722579984
2019-01-13 02,1.13,17.58,51.45,1.0516850948333754
2019-01-13 03,1.03,19.96,41.53,0.8518964099884042
2019-01-13 04,1.27,21.01,38.79,0.7633388996124273
2019-01-13 05,0.98,14.57,45.23,0.7175276589393619
2019-01-13 06,1.49,7.65,50.41,0.7727795124053952
2019-01-13 07,1.22,1.88,56.41,0.7977179646492
2019-01-13 08,1.89,3.38,46.96,0.8980717277526848
2019-01-13 09,1.42,6.41,50.79,1.1257543659210196
2019-01-13 10,1.86,9.39,44.05,1.46716058731079
2019-01-13 11,1.94,13.84,46.65,1.7678031492233268
2019-01-13 12,1.36,16.83,39.33,1.9307844638824456
2019-01-13 13,1.17,19.21,34.05,1.980988616943359
2019-01-13 14,1.77,20.0,40.72,2.068118257522583
2019-01-13 15,1.87,18.28,51.08,2.174383544921876
2019-01-13 16,2.02,19.97,53.51,2.2733365631103526
2019-01-13 17,2.22,15.01,44.74,2.367414693832399
